packet_length,packet_frame_len,source_ip,destination_ip,source_port,destination_port,received_time,time_difference,ttl,protocol
43,43,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:09,3,64,17
44,44,10.0.0.1,10.0.0.10,45714,9564,2023-06-15 13:12:09,0,64,17
44,44,10.0.0.5,10.0.0.10,55881,9564,2023-06-15 13:12:09,0,64,17
44,44,10.0.0.3,10.0.0.10,47177,9564,2023-06-15 13:12:10,1,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:10,5,64,17
44,44,10.0.0.10,10.0.0.1,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.2,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.3,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.4,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.8,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:12:10,0,64,17
44,44,53.223.130.192,10.0.0.8,,,2023-06-15 13:12:10,255,0,2
44,44,10.0.0.6,10.0.0.10,52629,9564,2023-06-15 13:12:11,1,64,17
44,44,10.0.0.8,10.0.0.10,39095,9564,2023-06-15 13:12:11,0,64,17
44,44,10.0.0.4,10.0.0.10,52955,9564,2023-06-15 13:12:11,0,64,17
44,44,10.0.0.7,10.0.0.10,38413,9564,2023-06-15 13:12:11,0,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:12:11,0,64,17
44,44,10.0.0.2,10.0.0.10,54990,9564,2023-06-15 13:12:11,0,64,17
43,43,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:14,3,64,17
44,44,10.0.0.1,10.0.0.10,45714,9564,2023-06-15 13:12:14,0,64,17
44,44,2.117.218.89,10.0.0.1,,,2023-06-15 13:12:14,4,0,1
44,44,10.0.0.5,10.0.0.10,55881,9564,2023-06-15 13:12:14,0,64,17
44,44,10.0.0.3,10.0.0.10,47177,9564,2023-06-15 13:12:15,1,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:15,5,64,17
44,44,10.0.0.10,10.0.0.1,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.2,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.3,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.4,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.8,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:12:15,0,64,17
44,44,10.0.0.8,10.0.0.10,39095,9564,2023-06-15 13:12:16,1,64,17
44,44,10.0.0.4,10.0.0.10,52955,9564,2023-06-15 13:12:16,0,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:12:16,0,64,17
44,44,10.0.0.6,10.0.0.10,52629,9564,2023-06-15 13:12:16,0,64,17
44,44,10.0.0.2,10.0.0.10,54990,9564,2023-06-15 13:12:16,0,64,17
44,44,10.0.0.7,10.0.0.10,38413,9564,2023-06-15 13:12:16,0,64,17
44,44,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:19,3,64,17
44,44,10.0.0.1,10.0.0.10,45714,9564,2023-06-15 13:12:19,0,64,17
44,44,10.0.0.5,10.0.0.10,55881,9564,2023-06-15 13:12:19,0,64,17
44,44,10.0.0.3,10.0.0.10,47177,9564,2023-06-15 13:12:20,1,64,17
44,44,10.0.0.10,10.0.0.1,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.2,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.3,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:20,5,64,17
44,44,10.0.0.10,10.0.0.4,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.8,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:12:20,0,64,17
44,44,92.151.23.192,10.0.0.10,,,2023-06-15 13:12:20,6,0,1
44,44,208.21.135.167,10.0.0.7,,,2023-06-15 13:12:20,0,0,2
44,44,10.0.0.8,10.0.0.10,39095,9564,2023-06-15 13:12:21,1,64,17
44,44,10.0.0.6,10.0.0.10,52629,9564,2023-06-15 13:12:21,0,64,17
44,44,10.0.0.2,10.0.0.10,54990,9564,2023-06-15 13:12:21,0,64,17
44,44,10.0.0.4,10.0.0.10,52955,9564,2023-06-15 13:12:21,0,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:12:21,0,64,17
44,44,10.0.0.7,10.0.0.10,38413,9564,2023-06-15 13:12:22,1,64,17
43,43,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:24,2,64,17
44,44,10.0.0.1,10.0.0.10,45714,9564,2023-06-15 13:12:24,0,64,17
44,44,10.0.0.5,10.0.0.10,55881,9564,2023-06-15 13:12:25,1,64,17
44,44,10.0.0.3,10.0.0.10,47177,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:25,5,64,17
44,44,10.0.0.10,10.0.0.1,54888,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.2,54888,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.3,54888,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.4,54888,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:25,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:25,0,64,17
